nombre;apellido;id;email;password;direccion;telefono;tarjeta;pedidos
Sofia;Rodriguez;w1IGmvbf7q;sofia.rodriguez@example.com;77xV6GN7;fEWWDAjrz8KSwIG;3297997698;5784790120862373;1
Marta;Lopez;6WTKwEwnlp;marta.lopez@example.com;Kogj8l30;OI9R60yJOIBu2Zd;9586259500;8869852768644091;3
Juan;Lopez;I1uFbMeWr1;juan.lopez@example.com;F6tbPEmu;mV9BKpuLzpHkE7Z;4734803345;5455714998593044;6
Maria;Sanchez;FfuUCUVElX;maria.sanchez@example.com;goDHiw0B;bcqBDwLFrmn0JyV;2738400959;6749371623504734;10
Maria;Martinez;AGPvL8IxrN;maria.martinez@example.com;U1OPaDik;2Y35ncmrPYigKP4;4563413602;9971594078174140;2
Maria;Martinez;I6oZd1PhA2;maria.martinez@example.com;nCqhIzp8;8fhAjYQuaGDzYSV;4696236152;2241309462406502;5
Javier;Diaz;EPuTRu3yCw;javier.diaz@example.com;hjd35C4X;OP5fLRZD0BEX9zf;2515217846;8343487869677615;3
Laura;Martinez;vN5T78Wuy9;laura.martinez@example.com;LtznNdKf;HGjBtzRX1Nhzjvu;2912108942;3241404703842495;5
Laura;Perez;9MEHEesM1b;laura.perez@example.com;3enT6qtX;yPQdLv6jEWgOJK8;6574545738;2111957139615858;8
Luis;Martinez;KndUvfQO8G;luis.martinez@example.com;10f5d4U4;yE7r80wLVgWC3l1;7985583528;6188384870747274;5
Sofia;Rodriguez;zDyTpqoSaq;sofia.rodriguez@example.com;0DUWDbrg;hObf3cu5718W0i6;4963123370;4510150550762360;6
Laura;Fernandez;GeofogFJxl;laura.fernandez@example.com;3FouCq0z;zakhgfbbuOzL4Hp;4394568325;8203155574282166;9
Luis;Gomez;betBZz3d9C;luis.gomez@example.com;YPqSlb3C;vIoHFCrMUnSJCY2;2329621496;9568272169634705;3
Laura;Perez;bhXl4Gz7q1;laura.perez@example.com;HnJYnkkp;Bia4x0MyKbqyHxh;3230346461;6195188333746467;5
Carlos;Gonzalez;QMNAgd4RXY;carlos.gonzalez@example.com;Z7dIr2lm;fU3YXjPNTejtKcp;7350867038;0155743386075002;5
Javier;Gomez;wNdbLEsxGF;javier.gomez@example.com;O9UprscQ;fVE4VDZh5H5caRS;3292033869;7905700035667715;6
Maria;Diaz;tg7HVgAnZE;maria.diaz@example.com;v448PcMe;8v4xLAeSWeDAOvJ;6546818928;3533228414688708;5
Juan;Fernandez;xbTtSZkJtT;juan.fernandez@example.com;xXbRMS2Y;zwepqZ0n1DYRaR5;0292992071;6890144347135449;6
Maria;Rodriguez;SR1Q1SACdi;maria.rodriguez@example.com;avV0Ug3g;qu0ZgFbuKCcF8uk;9592138754;2305623503950920;10
Luis;Gomez;t0nMT116Tb;luis.gomez@example.com;pmiUTLfD;vWTtTg2RiFy9a5D;9690922060;9668652919071638;10
Pedro;Gonzalez;PItAkhv5Hx;pedro.gonzalez@example.com;IOi4sDou;imLeebdQslVaCYD;1256766134;4049572615964609;5
Laura;Rodriguez;I8ZjsjHBJc;laura.rodriguez@example.com;9xKIYm99;9pPSp56lMU4Huym;4515852974;7090283754477498;6
Juan;Sanchez;PvvfDfKVBy;juan.sanchez@example.com;lK2JHko7;LQaczjJaCdqnc35;4713608108;6454013511980593;3
Ana;Lopez;2uP5Q8Okmr;ana.lopez@example.com;g0Bh02Aj;zlolMkdghBosfjS;1092979943;6603127548258686;9
Luis;Torres;NgD1cjCS55;luis.torres@example.com;GKVaynDB;qx3BVPDjmX8E10w;5866124852;6897047786430916;9
Javier;Sanchez;CQNcpNbdRS;javier.sanchez@example.com;bElnTNoc;mJczgZ5U2TtHcNE;3081303156;2086382288313476;2
Ana;Martinez;ijQCRcPESI;ana.martinez@example.com;wuAQoDdw;gHihCuRZFPsxgYx;3538393525;4246635723522271;4
Ana;Rodriguez;UIFSWicGd5;ana.rodriguez@example.com;5WUVbjdJ;vcvNH4K1Bqsd6QY;2408118420;9231436461843917;9
Javier;Fernandez;qnKSf2LXNh;javier.fernandez@example.com;Cn9aIXdy;CyBJtOyPJgCq4ay;7467796151;3073081439725909;6
Luis;Diaz;qQIEcODqM7;luis.diaz@example.com;CrVelJsb;bKArOQn0JcZ12Xm;3239525841;1551131959616310;5
Carlos;Rodriguez;F0aTDLTCXy;carlos.rodriguez@example.com;cWiEcISO;czDFanxFJQk83kA;4325365090;8958792744668616;9
Ana;Diaz;m3h1BZ2KEl;ana.diaz@example.com;Os0uFZVa;Zf4d61xC74oiF2j;3950314727;2893742755986260;1
